composition,temperature,temp_value,element,n_runs,D_ensemble,R2_ensemble,intercept
pt8sn7-1-best,400K,400,Sn,1,7.286515901072253e-07,0.8840229991635078,0.6544071081359601
pt8sn7-1-best,500K,500,Pt,1,3.5281255030268604e-07,0.8814009716372125,0.26531059784752054
pt8sn7-1-best,500K,500,PtSn,1,4.2125205259689276e-07,0.8994551912401269,0.2889794407383892
pt8sn7-1-best,500K,500,Sn,1,5.497867840891028e-07,0.9128172175275091,0.3334311217416204
pt8sn7-1-best,600K,600,Pt,1,7.092888099250488e-07,0.8035336685958825,2.429599978608984
pt8sn7-1-best,600K,600,PtSn,1,8.62552988478201e-07,0.9194961971263323,2.067817062312023
pt8sn7-1-best,600K,600,Sn,1,1.150394465813503e-06,0.9763750160702904,1.3883638807336913
pt8sn7-1-best,700K,700,Pt,1,1.430543844125868e-06,0.9509250478978841,-0.5565490929855716
pt8sn7-1-best,700K,700,PtSn,2,1.2065516530821117e-06,0.9542497652173559,0.23681349413530395
pt8sn7-1-best,700K,700,Sn,2,1.778694135838845e-06,0.9512764162591095,0.4532925478250096
pt8sn7-1-best,800K,800,Pt,1,1.6650730539694886e-06,0.9378282124842386,2.0573989358220928
pt8sn7-1-best,800K,800,PtSn,1,1.946194239461347e-06,0.9430594606294038,2.793055989832027
pt8sn7-1-best,800K,800,Sn,1,2.474161554032863e-06,0.925128640928867,4.174675568846711
pt8sn6-1-best,1000K,1000,Pt,1,1.1701053602104609e-05,0.9687987376176305,1.4336832497571095
pt8sn6-1-best,1000K,1000,PtSn,1,1.1923444195707678e-05,0.9707655861405318,4.2574147336932455
pt8sn6-1-best,1000K,1000,Sn,1,1.2410728787908275e-05,0.9675343967564679,10.444449049845275
pt8sn6-1-best,1100K,1100,Pt,4,1.9757261236120893e-06,0.7023841334187343,19.643401654407374
pt8sn6-1-best,1100K,1100,PtSn,4,2.360691654279634e-06,0.7563637594086516,19.940342836423326
pt8sn6-1-best,1100K,1100,Sn,4,3.204186434406344e-06,0.8237868246125991,20.590968492955632
pt8sn6-1-best,300K,300,Pt,1,-1.5808796295085577e-08,0.5393793714579419,0.316700690160314
pt8sn6-1-best,300K,300,PtSn,1,-1.6204753559276598e-08,0.5241130370935344,0.3387420390683814
pt8sn6-1-best,300K,300,Sn,1,-1.7072319191780933e-08,0.4533314736425291,0.3870365880849888
pt8sn6-1-best,400K,400,Pt,1,5.67588399461647e-07,0.8794682968352167,0.15391070445330968
pt8sn6-1-best,400K,400,PtSn,1,6.111569899077206e-07,0.883486840244043,0.11298468038276077
pt8sn6-1-best,400K,400,Sn,1,7.06619829486429e-07,0.8864622013914091,0.02331168539899231
pt8sn6-1-best,500K,500,Pt,1,8.855194526702748e-07,0.9433867592248149,1.1099657318390683
pt8sn6-1-best,500K,500,PtSn,1,9.433836847475069e-07,0.9567393140961946,1.5777356132726892
