composition,temperature,temp_value,element,n_runs,n_runs_original,n_runs_filtered,D_ensemble,R2_ensemble,intercept
O3Sn4Pt2,400K,400,Pt,5,6,1,1.709412592506425e-09,0.08895392489860923,0.0947076932556902
O3Sn4Pt2,400K,400,PtSn,5,6,1,4.2558616783550845e-10,0.017141002332041987,0.09594856454879565
O3Sn4Pt2,400K,400,Sn,5,6,1,-6.29279393327679e-10,0.05095346572570641,0.09696812950536177
O3Sn4Pt2,500K,500,Pt,4,6,2,1.504369681156178e-09,0.047438595861988016,0.11120461583654496
O3Sn4Pt2,500K,500,PtSn,4,6,2,1.6360945329290627e-09,0.08990782229023121,0.11400760889643549
O3Sn4Pt2,500K,500,Sn,4,6,2,1.7443305929255937e-09,0.09305598890127256,0.1163106980396337
O3Sn4Pt2,600K,600,Pt,5,6,1,2.7493490528530153e-09,0.12621297382195173,0.14929784456253736
O3Sn4Pt2,600K,600,PtSn,5,6,1,2.481648655629781e-09,0.19027570173533667,0.15087060186105342
O3Sn4Pt2,600K,600,Sn,3,6,3,5.217686814077333e-09,0.2921177041949172,0.1514265089532029
O3Sn4Pt2,700K,700,Pt,5,6,1,2.1453701497965783e-07,0.7446942086353905,0.3736359475731641
O3Sn4Pt2,700K,700,PtSn,5,6,1,1.1653882275972007e-07,0.7567079135161634,0.3048016930940344
O3Sn4Pt2,700K,700,Sn,3,6,3,2.90368863247112e-08,0.525863210905168,0.18810564362090698
O3Sn4Pt2,800K,800,Pt,5,6,1,2.1398850789537572e-08,0.10821977219240228,0.8792963528358677
O3Sn4Pt2,800K,800,PtSn,5,6,1,1.3022619091831894e-08,0.14505159866748285,0.5936392568537294
O3Sn4Pt2,800K,800,Sn,5,6,1,6.14024687643062e-09,0.13443730967640363,0.35892672682508286
O3Sn4Pt2,900K,900,Pt,6,6,0,4.15970275653615e-07,0.9409948370922491,1.9319710241931012
O3Sn4Pt2,900K,900,PtSn,6,6,0,2.073216770065651e-07,0.942357531184414,1.273543394317982
O3Sn4Pt2,900K,900,Sn,6,6,0,3.5883856325953173e-08,0.6128184861268583,0.732541421893438
O3Pt5Sn7,1000K,1000,Pt,4,6,2,2.2778453491248134e-06,0.9805220815121941,4.5182386174278175
O3Pt5Sn7,1000K,1000,PtSn,4,6,2,2.016242909034283e-06,0.9790772408591571,3.836625942011402
O3Pt5Sn7,1000K,1000,Sn,4,6,2,1.709175006581636e-06,0.9646591743214494,3.036552408323299
O3Pt5Sn7,1100K,1100,Pt,1,6,5,1.2869801487398722e-06,0.8303853044333934,7.532474652419032
O3Pt5Sn7,200K,200,Pt,6,6,0,1.6335840234029278e-09,0.1032038786855862,0.12545515331968102
O3Pt5Sn7,200K,200,PtSn,6,6,0,1.4222307737571973e-09,0.10101415807346437,0.11734663301104836
O3Pt5Sn7,200K,200,Sn,6,6,0,1.1741418689681552e-09,0.08322626084802023,0.10782893543495264
O3Pt5Sn7,300K,300,Pt,6,6,0,6.528202813640888e-08,0.8111929052912065,0.337962821344453
O3Pt5Sn7,300K,300,PtSn,6,6,0,6.256751004028696e-08,0.811865233933413,0.30585896358051906
O3Pt5Sn7,300K,300,Sn,6,6,0,5.938126395477512e-08,0.8021208341783387,0.2681755667435807
O3Pt5Sn7,400K,400,Pt,5,6,1,1.1645063387058574e-08,0.09602715497072312,0.766006093693818
O3Pt5Sn7,400K,400,PtSn,5,6,1,1.4847118705527028e-08,0.18623983686346718,0.6911419041520999
O3Pt5Sn7,400K,400,Sn,5,6,1,1.860567839480676e-08,0.32691623474743275,0.6032667998910203
O3Pt5Sn7,500K,500,Pt,5,6,1,1.0643966034895205e-08,0.01708269218557229,1.5077686506434766
O3Pt5Sn7,500K,500,PtSn,5,6,1,6.712988217049376e-09,0.009413262406309483,1.3884369561108563
O3Pt5Sn7,500K,500,Sn,5,6,1,2.0988370722200818e-09,0.00134366700063925,1.2483660471677755
O3Pt5Sn7,600K,600,Pt,5,6,1,1.8190765210856882e-07,0.7239001945226261,1.3161311245291967
O3Pt5Sn7,600K,600,PtSn,5,6,1,1.5949482987469456e-07,0.716404269292343,1.2491979843617633
O3Pt5Sn7,600K,600,Sn,5,6,1,1.3318679179019994e-07,0.6895507173232589,1.170632257476821
O3Pt5Sn7,700K,700,Pt,6,6,0,4.378391085081095e-07,0.9320574460100108,1.9211424156341406
O3Pt5Sn7,700K,700,PtSn,6,6,0,3.5142458200901884e-07,0.9067114733057332,2.0154725829605833
O3Pt5Sn7,700K,700,Sn,6,6,0,2.4999175974409516e-07,0.8115629278948555,2.126196836384638
O3Pt5Sn7,800K,800,Pt,3,6,3,4.120083597637404e-07,0.5944922349907744,1.8387881029863213
O3Pt5Sn7,800K,800,PtSn,3,6,3,3.131287894012288e-07,0.551608258635596,1.7008163443927051
O3Pt5Sn7,800K,800,Sn,5,6,1,1.562761170544329e-07,0.5364665649814345,1.6141410835296763
O3Pt5Sn7,900K,900,Pt,6,6,0,1.1010262932495665e-06,0.9598638197339612,4.694883741700476
O3Pt5Sn7,900K,900,PtSn,6,6,0,9.819097698403831e-07,0.9624934996746392,4.152774743599892
O3Pt5Sn7,900K,900,Sn,6,6,0,8.420915166770979e-07,0.9589532223874774,3.51644917544765
Sn6Pt5O2,1000K,1000,Pt,5,6,1,1.1138698765903161e-06,0.9413142598161586,6.8704583561020405
Sn6Pt5O2,1000K,1000,PtSn,5,6,1,9.114931731758173e-07,0.9225694336926419,6.636883114632199
Sn6Pt5O2,1000K,1000,Sn,5,6,1,6.343527301027048e-07,0.8416885141359656,6.317018499436822
Sn6Pt5O2,1100K,1100,Pt,2,6,4,1.2889026886711968e-06,0.9044410151570388,6.983830085399373
Sn6Pt5O2,1100K,1100,PtSn,2,6,4,1.3910385617980998e-06,0.9196583526700879,5.330445630531086
Sn6Pt5O2,1100K,1100,Sn,2,6,4,1.530906195507899e-06,0.873437496059933,3.0662539100271964
Sn6Pt5O2,200K,200,Pt,5,6,1,2.1050322274216904e-09,0.07091494558337598,0.15953261813128983
Sn6Pt5O2,200K,200,PtSn,5,6,1,1.5997883834780382e-09,0.050487325657092894,0.15148197138046218
Sn6Pt5O2,200K,200,Sn,5,6,1,9.078829256472652e-10,0.02002615437800008,0.14045724184627165
Sn6Pt5O2,300K,300,Pt,3,6,3,4.443062117888837e-08,0.2847656931989559,1.0413052759124677
Sn6Pt5O2,300K,300,PtSn,5,6,1,4.4506650199967304e-08,0.5498685387878675,0.7855596811150571
Sn6Pt5O2,300K,300,Sn,5,6,1,3.201351568575873e-08,0.5418244603319767,0.6143715411968237
Sn6Pt5O2,400K,400,Pt,5,6,1,5.2616812850268944e-08,0.641402511031677,0.6527565449746389
Sn6Pt5O2,400K,400,PtSn,5,6,1,4.3005889606576337e-08,0.5743268921960079,0.6103254450914368
