group_key,composition,temperature,element,run_id,gmx_D,filepath,reason
O2Sn8Pt7_600K_PtSn,O2Sn8Pt7,600K,PtSn,4,-6.600000000000001e-08,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\o68\o2-2\O2Sn8Pt7\600K\T600.r4.gpu0_msd_PtSn.xvg,IQR_outlier
O2Sn8Pt7_600K_Sn,O2Sn8Pt7,600K,Sn,4,4.5e-08,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\o68\o2-3\O2Sn8Pt7\600K\T600.r4.gpu0_msd_Sn.xvg,IQR_outlier
O2Sn8Pt7_600K_Sn,O2Sn8Pt7,600K,Sn,4,-5.6000000000000005e-08,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\o68\o2-2\O2Sn8Pt7\600K\T600.r4.gpu0_msd_Sn.xvg,IQR_outlier
O2Sn8Pt7_900K_Pt,O2Sn8Pt7,900K,Pt,7,1.0630000000000002e-06,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\o68\o2-3\O2Sn8Pt7\900K\T900.r7.gpu0_msd_Pt.xvg,IQR_outlier
O2Sn8Pt7_900K_PtSn,O2Sn8Pt7,900K,PtSn,22,1.5740000000000003e-06,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o2\O2Sn8Pt7\900K\T900.r22.gpu0_msd_PtSn.xvg,IQR_outlier
O2Sn8Pt7_900K_Sn,O2Sn8Pt7,900K,Sn,22,2.699e-06,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o2\O2Sn8Pt7\900K\T900.r22.gpu0_msd_Sn.xvg,IQR_outlier
O3Pt5Sn7_1000K_Pt,O3Pt5Sn7,1000K,Pt,26,6.098000000000001e-06,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o3\O3Pt5Sn7\1000K\T1000.r26.gpu0_msd_Pt.xvg,IQR_outlier
O3Pt5Sn7_1000K_Pt,O3Pt5Sn7,1000K,Pt,25,1.5800000000000004e-07,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o3\O3Pt5Sn7\1000K\T1000.r25.gpu0_msd_Pt.xvg,Intercept>10.0A²
O3Pt5Sn7_1000K_PtSn,O3Pt5Sn7,1000K,PtSn,26,3.5830000000000003e-06,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o3\O3Pt5Sn7\1000K\T1000.r26.gpu0_msd_PtSn.xvg,Intercept>10.0A²
O3Pt5Sn7_1000K_Sn,O3Pt5Sn7,1000K,Sn,26,6.310000000000001e-07,c:\Users\11207\OneDrive\02_Code\work1-PtSnO\workflow\data\gmx_msd\collected_gmx_msd\more\run3\o3\O3Pt5Sn7\1000K\T1000.r26.gpu0_msd_Sn.xvg,Intercept>10.0A²
