series,sn_num,temperature,temp_value,n_pt,n_sn,total_atoms,q6,q6_std,pt_q6,sn_q6,pt_cn_total,pt_pt_bonds_per_pt,pt_sn_bonds_per_pt,sn_cn_total,sn_sn_bonds_per_sn,sn_pt_bonds_per_sn,rg,d_sn_pt,n_runs
Pt8Snx,5,600K,600,8.0,5.0,13.0,0.1668402473742264,0.03517368048902439,0.0,0.0,4.263746471986705,0.30485210498065696,0.22811620401768123,3.3862312930960563,0.0932687763339473,0.5839774822852641,2.916020639360136,0.8830142903492085,10
Pt8Snx,5,700K,700,8.0,5.0,13.0,0.16308409199387294,0.034227450683241484,0.0,0.0,4.245037334749805,0.30436036826705887,0.22626929857666672,3.3292477397158082,0.08660014358689473,0.5792494043562668,2.9345354735067746,0.9062672025272489,10
Pt8Snx,5,800K,800,8.0,5.0,13.0,0.18662618577333373,0.045504831938916135,0.0,0.0,3.6367159665872677,0.25601469876445837,0.1985747970589501,2.9582992278540763,0.08330836509990296,0.5083514804709123,3.97366615694529,0.4463903976428728,10
Pt8Snx,5,900K,900,8.0,5.0,13.0,0.1699577804205233,0.04303011622021624,0.0,0.0,4.0383544328803955,0.28619818462270913,0.21859611948734034,3.277196339585133,0.09583320202943525,0.5596060658875914,3.003930019622266,0.8459462736925467,10
Pt8Snx,5,1000K,1000,8.0,5.0,13.0,0.17671390164347522,0.04465991812717753,0.0,0.0,3.770099919728468,0.26475679916424566,0.20650569080181289,3.113035779780176,0.0939525875033944,0.5286545684526409,3.5064261243482315,0.6744941891779266,10
Pt8Snx,5,1100K,1100,8.0,5.0,13.0,0.16430335105666177,0.04045674141477433,0.0,0.0,3.8433197080475687,0.26842606981011125,0.21198889369583487,3.239878851656736,0.10528420247000994,0.5426915678613373,3.0730258808889146,0.7705352711815014,10
Pt8Snx,6,200K,200,8.0,6.0,14.0,0.17973834357096383,0.0266290456791482,0.0,0.0,4.193807279484841,0.21686801592147045,0.3073578940141347,4.221687865417368,0.15720061043332187,0.5464140338029062,2.91917764952888,0.2842318105705833,7
Pt8Snx,6,300K,300,8.0,6.0,14.0,0.14875733600695767,0.01579920972071819,0.0,0.0,4.064182914212462,0.21380969339895944,0.29421317087759824,4.038067277380194,0.14996557578096872,0.5230456371157304,3.0301748083949485,0.35943380915745965,10
Pt8Snx,6,400K,400,8.0,6.0,14.0,0.14064396220361228,0.0259786411847924,0.0,0.0,4.008109081033648,0.21450351110903157,0.2865101240201744,4.052068526602928,0.1659934228424,0.5093513315914211,3.0369860056452693,0.3668810803581638,10
Pt8Snx,6,500K,500,8.0,6.0,14.0,0.16300495937440135,0.031858459686382914,0.0,0.0,3.959780781669584,0.20948482545407657,0.28548777225462146,3.9375995735291958,0.1487327782466499,0.5075338173415493,3.051505832357108,0.2993598289033594,10
